YEAR,TEAM,TEAM_NO,SEED,ROUND,TR_RANK,TR_RATING,SOS_RANK,SOS_RATING,LUCK_RANK,LUCK_RATING,FTE_POWER_RATING,FTE_POWER_RATING_RANK,KP_PRE_PRESEASON_KADJ_EM,KP_PRE_PRESEASON_KADJ_O,KP_PRE_PRESEASON_KADJ_D,KP_PRE_PRESEASON_KADJ_T,HC_EASY_DRAW,HC_TOUGH_DRAW,HC_DARK_HORSE,HC_UPSET_ALERT,HC_CINDERELLA,,,
2026,MICHIGAN,1148,1,,1,,1,16.1,57,0.9,,,37.21,122.9,85.6,73.6,,,,,,,,
2026,GONZAGA,1149,2,,3,,25,11.5,117,0.4,,,32.88,124.2,91.3,71.3,,,,,,,,
2026,ALABAMA,1150,3,,11,,2,15.2,118,0.4,,,26.97,126.5,99.5,74.4,,,,,,,,
2026,IOWA STATE,1151,1,,5,,7,14.1,45,1.1,,,34.28,124.6,90.3,70.1,,,,,,,,
2026,BYU,1152,2,,17,,18,13,55,0.9,,,27.79,124,96.2,68.9,,,,,,,,
2026,MICHIGAN STATE,1153,3,,9,,13,13.4,34,1.1,,,27.03,118.5,91.5,66.1,,,,,,,,
2026,DUKE,1154,1,,2,,3,14.6,24,1.2,,,32.43,123.4,91,67.7,,,,,,,,
2026,CONNETICUT,1155,2,,6,,21,12.3,24,1.3,,,29.26,122.1,92.9,65.8,,,,,,,,
2026,VANDERBILT,1156,3,,7,,17,13.1,46,1,,,29.2,126.6,97.4,71,,,,,,,,
2026,ARIZONA,1157,1,,8,,9,13.9,19,1.4,,,30.18,123.5,93.3,71.8,,,,,,,,
2026,PURDUE,1158,2,,12,,4,14.3,79,0.7,,,29.77,127.5,97.7,65.5,,,,,,,,
2026,HOUSTON,1159,3,,4,,19,12.7,150,0.2,,,27.35,119.3,92,63.9,,,,,,,,